Namespace(ignore_case=False, order=4, ref='./scores_regless/w01/gen.out.ref', sacrebleu=False, sentence_bleu=True, sys='./scores_regless/w01/gen.out.sys')
52 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
53 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
54 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
55 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
56 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
57 BLEU4 = 70.71, 50.0/50.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=2, reflen=2)
58 BLEU4 = 31.95, 25.0/25.0/33.3/50.0 (BP=1.000, ratio=1.333, syslen=4, reflen=3)
59 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
60 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=2, reflen=2)
61 BLEU4 = 70.71, 50.0/50.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=2, reflen=2)
62 BLEU4 = 70.71, 50.0/50.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=2, reflen=2)
63 BLEU4 = 42.89, 50.0/50.0/100.0/100.0 (BP=0.607, ratio=0.667, syslen=2, reflen=3)
64 BLEU4 = 45.18, 50.0/50.0/33.3/50.0 (BP=1.000, ratio=1.000, syslen=4, reflen=4)
65 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=4, reflen=4)
66 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=4, reflen=4)
